F1,F11,F15,F28,F32,F36,F53,F55,F57,F60,F65,F71,F74,F76,F77,F78,F85,F86,F92,F95,F97,F99,F106,F118,F126,F132,F40,class
154.4921875,31303.8063,15771123.76,343.6428231,6247.607775,31984138.77,13760.85996,1.499904073,2048400.62,0.382895798,27.92757656,14.11086821,6068.054169,2.100193484,0.268794886,3693112.018,249.3730696,55.44633475,12.3595676,8256.450867,1.489872348,1115195.184,46.75926833,1.389698028,1.012363249,0.522198734,328.8214618,1
157.3242188,26264.82964,15785293.79,415.1925805,7475.880271,31981052.38,7256.458724,1.777796633,2068968.731,0.354765302,16.78955047,12.09736476,4520.175326,2.228063149,0.255086496,3697145.428,223.851301,27.41355703,11.96523553,7733.826452,1.518267772,1117091.154,42.32787124,1.398137788,1.011594862,0.501734572,393.4673827,1
132.3242188,56517.89665,15674512.77,1235.205917,23378.9488,31925254.86,15051.61196,1.460969341,2038885.286,0.401248556,53.94524118,27.35753401,23097.40875,1.519732436,0.317337357,3629942.949,247.8711552,45.65831085,14.10336697,10742.94459,1.375554586,1109327.175,41.65593318,1.071214228,1.017050499,0.747156961,1230.470989,1
188.9648438,4494.018555,15848043.84,141.8586525,3583.325121,31993287.17,2427.968501,2.253159324,2085476.155,0.305437156,14.61795135,5.290514798,840.3987279,2.958312647,0.681997479,3707542.738,273.1887619,4.274786803,2.150492016,250.3377298,3.006460658,1139788.327,53.12628219,2.876795308,1.057127452,0.167813433,188.596059,1
171.5820313,20928.66898,15805685.5,376.2181185,8676.226848,31974896.52,11379.02256,1.582438084,2056368.334,0.368254002,28.10579893,17.23925117,8984.588991,1.929767948,0.168379301,3683663.497,266.8873936,12.76833817,6.216293367,2087.040327,2.086979464,1136180.148,51.23416429,2.194930808,1.035185056,0.410233019,456.6435183,1
175.2929688,22227.97394,15802197.25,508.906178,11234.61548,31968588.22,8906.826167,1.688809474,2065107.769,0.347562981,42.18107029,17.35647551,9102.351514,1.924113185,0.150937696,3683384.601,257.8001627,15.85243346,6.209589322,2082.831872,2.08785567,1135820.903,51.26544112,2.392738163,1.038548729,0.387187164,591.2955513,1
169.0429688,40143.65196,15745115.72,975.0589398,17994.34291,31939585.92,18431.57896,1.372995104,2030486.338,0.380297563,54.83941762,24.90035786,18886.3296,1.607143939,0.045741786,3650319.513,254.8226618,20.48728114,8.673231585,4062.310104,1.797838378,1130581.318,50.70216151,1.986379362,1.039382982,0.538926366,947.0706797,1
160.7421875,35598.90747,15758922.61,711.3507812,13358.8224,31956843.27,15935.43294,1.436190087,2040298.291,0.376493986,40.37092016,23.81614563,17260.08105,1.646246506,0.104727884,3656179.157,256.2470341,23.5973865,9.132648659,4504.051746,1.753018562,1129338.477,49.80503798,1.980722161,1.039158586,0.508444147,703.0959156,1
162.6953125,22105.38864,15800120.07,1004.979298,19285.78714,31930900.13,7522.79983,1.762143974,2069395.421,0.312437648,38.55430741,17.22655821,9232.746678,1.917936542,0.01230826,3683453.108,256.5345402,26.57799782,8.400748616,3811.025743,1.825562521,1131315.908,50.23434034,1.947519938,1.026048136,0.469215642,1015.041428,1
170.703125,27381.23894,15784408.92,1319.838963,23758.10831,31918582.96,5547.919025,1.89437282,2075917.371,0.328911156,37.05449128,16.93775918,8713.895413,1.943052318,0.224178516,3684315.833,253.7557691,22.37385275,7.244084327,2833.843659,1.954189233,1133572.501,49.82978838,2.02567065,1.024258076,0.491410729,1250.426753,1
